ISIN,TckrSymb,COMPANYNAME,NSE:
INE173A01025,SIL,STANDARD INDUSTRIES LTD.,NSE:SIL
INE700A01033,JUBLPHARMA,JUBILANT PHARMOVA LIMITED,NSE:JUBLPHARMA
INE924D01017,THEINVEST,THE INVESTMENT TRUST OF INDIA,NSE:THEINVEST
INE607G01011,SAMYAKINT,SAMYAK INTERNATIONAL LTD.,NSE:SAMYAKINT
INE563D01013,AADIIND,AADI INDUSTRIES LTD.,NSE:AADIIND
INE618F01010,SPARKLEGR,SPARKLE GOLD ROCK LIMITED,NSE:SPARKLEGR
INE326C01017,ACKNIT,ACKNIT INDUSTRIES LTD.,NSE:ACKNIT
INE090D01017,TITANSEC,TITAN SECURITIES LTD.,NSE:TITANSEC
INE055E01034,REALECO,REAL ECO-ENERGY LIMITED,NSE:REALECO
INE984E01035,VIVANZA,Vivanza Biosciences Limited,NSE:VIVANZA
INE095C01018,YASHRAJC,YASHRAJ CONTAINEURS LTD.,NSE:YASHRAJC
INE689J01013,LORDSHOTL,LORDS ISHWAR HOTELS LIMITED,NSE:LORDSHOTL
INE718F01018,CSLFINANCE,CSL Finance Limited,NSE:CSLFINANCE
INE989A01032,SANGHVIMOV,SANGHVI MOVERS LTD.,NSE:SANGHVIMOV
INE818A01017,SELAN,SELAN EXPLORATION TECHNOLOGY L,NSE:SELAN
INE795D01011,PURETROP,PURETROP FRUITS LIMITED,NSE:PURETROP
INE963C01033,FAZE3Q,FAZE THREE LTD.,NSE:FAZE3Q
INE656B01027,PRADHIN,PRADHIN LIMITED,NSE:PRADHIN
INE069B01023,ANUPAM,ANUPAM FINSERV LIMITED,NSE:ANUPAM
INE639C01013,RAJPACK,RAJ PACKAGING INDUSTRIES LTD.,NSE:RAJPACK
INE959A01019,PRIVISCL,PRIVI SPECIALITY CHEMICALS LIM,NSE:PRIVISCL
INE444D01016,NATRAJPR,NATRAJ PROTEINS LTD.,NSE:NATRAJPR
INE103E01016,SAMRATPH,SAMRAT PHARMACHEM LTD.,NSE:SAMRATPH
INE446D01011,NPRFIN,NPR FINANCE LTD.,NSE:NPRFIN
INE445D01013,NILE,NILE LTD.,NSE:NILE
INE225C01029,UDAICEMENT,UDAIPUR CEMENT WORKS LTD.,NSE:UDAICEMENT
INE924B01011,AMCOIND,AMCO INDIA LTD.,NSE:AMCOIND
INE350C01017,OPTIEMUS,OPTIEMUS INFRACOM LTD,NSE:OPTIEMUS
INE302C01018,KREONFIN,KREON FINNANCIAL SERVICES LTD.,NSE:KREONFIN
INE487G01018,GYANDEV,GYAN DEVELOPERS & BUILDERS LTD,NSE:GYANDEV
INE017C01012,KISAN,KISAN MOULDINGS LTD.,NSE:KISAN
INE817B01025,KERALAYUR,KERALA AYURVEDA LTD.,NSE:KERALAYUR
INE153K01018,MONGIPA,MOONGIPA CAPITAL FINANCE LTD.,NSE:MONGIPA
INE388C01017,MOHITPPR,MOHIT PAPER MILLS LTD.,NSE:MOHITPPR
INE108C01019,DAULAT,DAULAT SECURITIES LTD.,NSE:DAULAT
INE213B01019,ODYSSEY,ODYSSEY TECHNOLOGIES LTD.,NSE:ODYSSEY
INE015F01019,RSCINT,RSC INTERNATIONAL LTD.,NSE:RSCINT
INE936A01025,SURATRAML,Surat Trade and Mercantile Lim,NSE:SURATRAML
INE354E01031,ATHARVENT,ATHARV ENTERPRISES LTD.,NSE:ATHARVENT
INE365H01014,FUNDVISER,FUNDVISER CAPITAL (INDIA) LIMI,NSE:FUNDVISER
INE083B01024,THEMISMED,THEMIS MEDICARE LTD.,NSE:THEMISMED
INE629F01025,KALLAM,KALLAM TEXTILES LTD,NSE:KALLAM
INE899B01015,BRAWN,BRAWN BIOTECH LTD.,NSE:BRAWN
INE501D01013,FORINTL,FORTUNE INTERNATIONAL LTD.,NSE:FORINTL
INE050N01010,KINGSINFR,KINGS INFRA VENTURES LIMITED,NSE:KINGSINFR
INE295B01016,SWOJAS,SWOJAS FOODS LIMITED,NSE:SWOJAS
INE536C01029,NUTRICIRCLE,Nutricircle Limited,NSE:NUTRICIRCLE
INE690D01014,SUBSM,SUBHASH SILK MILLS LTD.,NSE:SUBSM
INE292C01011,AUROLAB,AURO LABORATORIES LTD.,NSE:AUROLAB
INE533C01018,KJMCFIN,KJMC FINANCIAL SERVICES LTD.,NSE:KJMCFIN
INE495B01038,SUVEN,SUVEN LIFE SCIENCES LTD.,NSE:SUVEN
INE032E01017,ARYAMAN,ARYAMAN FINANCIAL SERVICES LTD,NSE:ARYAMAN
INE958C01025,BRIDGESE,BRIDGE SECURITIES LTD.,NSE:BRIDGESE
INE001O01029,RISAINTL,RISA INTERNATIONAL LTD.,NSE:RISAINTL
INE497E01020,RAJTUBE,RAJASTHAN TUBE MANUFACTURING C,NSE:RAJTUBE
INE961B01013,KAYPOWR,KAY POWER AND PAPER LTD.,NSE:KAYPOWR
INE003B01014,INTSTOIL,INTER STATE OIL CARRIER LTD.,NSE:INTSTOIL
INE062C01042,GLOBALCA,GLOBAL CAPITAL MARKETS LTD.,NSE:GLOBALCA
INE584B01013,SAINIK,SAINIK FINANCE & INDUSTRIES LT,NSE:SAINIK
INE021N01011,ARIGATO,ARIGATO UNIVERSE LIMITED,NSE:ARIGATO
INE652D01014,RICHUNV,RICH UNIVERSE NETWORK LTD.,NSE:RICHUNV
INE373C01019,QUANTDIA,QUANTUM DIGITAL VISION (INDIA),NSE:QUANTDIA
INE102F01015,SPCAPIT,SP CAPITAL FINANCING LTD.,NSE:SPCAPIT
INE791C01012,PAOS,PAOS INDUSTRIES LIMITED,NSE:PAOS
INE418K01015,SHRAJOI,SHRI RAJIVLOCHAN OIL EXTRACTIO,NSE:SHRAJOI
INE823A01017,KOTHARIPRO,KOTHARI PRODUCTS LTD.,NSE:KOTHARIPRO
INE546C01010,PICCADIL,PICCADILY AGRO INDUSTRIES LTD.,NSE:PICCADIL
INE419D01026,CLSEL,CHAMAN LAL SETIA EXPORTS LTD.,NSE:CLSEL
INE368D01025,CHANDRAP,CHANDRA PRABHU INTERNATIONAL L,NSE:CHANDRAP
INE285U01025,KIMIABL,KIMIA BIOSCIENCES LIMITED,NSE:KIMIABL
INE428D01019,HINDTIN,HINDUSTAN TIN WORKS LTD.,NSE:HINDTIN
INE362C01012,GODAVARI,GODAVARI DRUGS LTD.,NSE:GODAVARI
INE001E01012,PREMCO,PREMCO GLOBAL LTD.,NSE:PREMCO
INE596B01017,MUKESHB,MUKESH BABU FINANCIAL SERVICES,NSE:MUKESHB
INE955D01029,GENUSPOWER,GENUS POWER INFRASTRUCTURES LT,NSE:GENUSPOWER
INE276G01015,ASIANENE,ASIAN ENERGY SERVICES LTD,NSE:ASIANENE
INE883D01023,KBSINDIA,KBS INDIA LIMITED,NSE:KBSINDIA
INE428P01013,PRABHHANS,PRABHHANS INDUSTRIES LIMITED,NSE:PRABHHANS
INE071E01023,UGARSUGAR,UGAR SUGAR WORKS LTD.,NSE:UGARSUGAR
INE607D01018,ORIENTBELL,ORIENT BELL LIMITED,NSE:ORIENTBELL
INE349A01021,NRBBEARING,NRB BEARINGS LTD.,NSE:NRBBEARING
INE380C01014,VAMSHIRU,VAMSHI RUBBER LTD.,NSE:VAMSHIRU
INE937C01029,NILAINFRA,NILA INFRASTRUCTURES LTD.,NSE:NILAINFRA
INE921B01025,DBSTOCKBRO,DB (INTERNATIONAL) STOCK BROKE,NSE:DBSTOCKBRO
INE526H01011,VINYOFL,VINYOFLEX LTD.,NSE:VINYOFL
INE356F01017,JINDCAP,JINDAL CAPITAL LTD.,NSE:JINDCAP
INE932F01015,EPIC,EPIC ENERGY LTD.,NSE:EPIC
INE886B01012,SUMEDHA,SUMEDHA FISCAL SERVICES LTD.,NSE:SUMEDHA
INE430F01010,KUWERIN,KUWER INDUSTRIES LTD.,NSE:KUWERIN
INE865B01016,CHOKSI,CHOKSI ASIA LIMITED,NSE:CHOKSI
