ISIN,TckrSymb,COMPANYNAME,NSE:
INE386C01029,ASTRAMICRO,ASTRA MICROWAVE PRODUCTS LTD.,NSE:ASTRAMICRO
INE944F01028,RADICO,RADICO KHAITAN LTD.,NSE:RADICO
INE585B01010,MARUTI,MARUTI SUZUKI INDIA LTD.,NSE:MARUTI
INE296E01026,RAJPALAYAM,RAJAPALAYAM MILLS LTD.,NSE:RAJPALAYAM
INE048G01026,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL L,NSE:NAVINFLUOR
INE691A01018,UCOBANK,UCO BANK,NSE:UCOBANK
INE116D01028,BAGFILMS,B.A.G.FILMS & MEDIA LTD.,NSE:BAGFILMS
INE220G01021,JSL,JINDAL STAINLESS LTD.,NSE:JSL
INE399C01030,SUPRAJIT,SUPRAJIT ENGINEERING LTD.,NSE:SUPRAJIT
INE236G01019,TVSELECT,TVS ELECTRONICS LTD.,NSE:TVSELECT
INE203G01027,IGL,INDRAPRASTHA GAS LTD.,NSE:IGL
INE038F01029,TVTODAY,TV TODAY NETWORK LTD.,NSE:TVTODAY
INE218G01033,PALREDTEC,PALRED TECHNOLOGIES LIMITED,NSE:PALREDTEC
INE347G01014,PETRONET,PETRONET LNG LTD.,NSE:PETRONET
INE376G01013,BIOCON,BIOCON LTD.,NSE:BIOCON
INE877F01012,PTC,PTC INDIA LTD.,NSE:PTC
INE457A01014,MAHABANK,BANK OF MAHARASHTRA,NSE:MAHABANK
INE399G01023,RKFORGE,RAMKRISHNA FORGINGS LTD.,NSE:RKFORGE
INE365B01017,DATAMATICS,DATAMATICS GLOBAL SERVICES LTD,NSE:DATAMATICS
INE155G01029,NDTV,NEW DELHI TELEVISION LTD.,NSE:NDTV
INE939A01011,STAR,STRIDES PHARMA SCIENCE LIMITED,NSE:STAR
INE481G01011,ULTRACEMCO,ULTRATECH CEMENT LTD.,NSE:ULTRACEMCO
INE405E01023,UNOMINDA,UNO Minda Limited,NSE:UNOMINDA
INE467B01029,TCS,TATA CONSULTANCY SERVICES LTD.,NSE:TCS
INE591G01025,COFORGE,COFORGE LIMITED,NSE:COFORGE
INE586G01017,GULFPETRO,GP PETROLEUMS LTD,NSE:GULFPETRO
INE348B01021,CENTURYPLY,CENTURY PLYBOARDS (I) LTD.,NSE:CENTURYPLY
INE625G01013,WELENT,WELSPUN ENTERPRISES LIMTED,NSE:WELENT
INE733E01010,NTPC,NTPC LTD.,NSE:NTPC
INE658G01014,SALSTEEL,S.A.L.STEEL LTD.,NSE:SALSTEEL
INE927D01051,JBMA,JBM AUTO LTD.,NSE:JBMA
INE366A01041,DWARKESH,DWARIKESH SUGAR INDUSTRIES LTD,NSE:DWARKESH
INE873D01024,INDOCO,INDOCO REMEDIES LTD.,NSE:INDOCO
INE450G01024,VIPCLOTHNG,VIP Clothing Limited,NSE:VIPCLOTHNG
INE691G01015,IMPEXFERRO,IMPEX FERRO TECH LTD.,NSE:IMPEXFERRO
INE692G01013,XCHANGING,XCHANGING SOLUTIONS LTD.,NSE:XCHANGING
INE796G01012,JINDALPHOT,JINDAL PHOTO LTD.,NSE:JINDALPHOT
INE063E01053,POCL,PONDY OXIDES & CHEMICALS LTD.,NSE:POCL
INE351F01018,JPPOWER,JAIPRAKASH POWER VENTURES LIMI,NSE:JPPOWER
INE748C01038,3IINFOLTD,3I INFOTECH LTD.,NSE:3IINFOLTD
INE887G01027,GOKEX,GOKALDAS EXPORTS LTD.,NSE:GOKEX
INE835G01018,ALLDIGI,Alldigi Tech Limited,NSE:ALLDIGI
INE530B01024,IIFL,IIFL FINANCE LIMITED,NSE:IIFL
INE584F01014,MANGALAM,MANGALAM DRUGS & ORGANICS LTD.,NSE:MANGALAM
INE498B01024,SHOPERSTOP,SHOPPERS STOP LTD.,NSE:SHOPERSTOP
INE278G01037,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,NSE:CYBERMEDIA
INE875G01048,NDL,NANDAN DENIM LIMITED,NSE:NDL
INE824G01012,JSWHL,JSW HOLDINGS LIMITED,NSE:JSWHL
INE823G01014,JKCEMENT,J.K.CEMENT LTD.,NSE:JKCEMENT
INE052B01011,BEEYU,BEEYU OVERSEAS LTD.,NSE:BEEYU
INE528G01035,YESBANK,YES BANK LTD.,NSE:YESBANK
INE023H01027,NECLIFE,NECTAR LIFESCIENCES LTD.,NSE:NECLIFE
INE752G01015,MSPL,MSP STEEL & POWER LTD.,NSE:MSPL
INE978G01016,SPLIL,SPL INDUSTRIES LTD.,NSE:SPLIL
INE614B01018,KTKBANK,KARNATAKA BANK LTD.,NSE:KTKBANK
INE942G01012,MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,NSE:MCLEODRUSS
INE828G01013,FACORALL,FACOR ALLOYS LTD.,NSE:FACORALL
INE050H01012,RML,RANE (MADRAS) LTD.,NSE:RML
INE501G01024,HTMEDIA,HT MEDIA LTD.,NSE:HTMEDIA
INE231F01020,SASKEN,Sasken Technologies Limited,NSE:SASKEN
INE512B01022,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,NSE:FCSSOFT
INE040H01021,SUZLON,SUZLON ENERGY LTD.,NSE:SUZLON
INE132H01018,AURIONPRO,AURIONPRO SOLUTIONS LTD.,NSE:AURIONPRO
INE087H01022,RENUKA,SHREE RENUKA SUGARS LTD.,NSE:RENUKA
INE157H01023,KMSUGAR,K.M.SUGAR MILLS LTD.,NSE:KMSUGAR
INE186H01022,BASML,BANNARI AMMAN SPINNING MILLS L,NSE:BASML
INE160H01019,PBAINFRA,PBA INFRASTRUCTURE LTD.,NSE:PBAINFRA
INE212H01026,AIAENG,AIA ENGINEERING LTD.,NSE:AIAENG
INE184H01027,EKC,EVEREST KANTO CYLINDER LTD.,NSE:EKC
INE202H01019,KERNEX,KERNEX MICROSYSTEMS (INDIA) LT,NSE:KERNEX
INE461B01014,REPRO,REPRO INDIA LTD.,NSE:REPRO
INE191H01014,PVRINOX,PVR INOX LIMITED,NSE:PVRINOX
INE855F01042,ASMS,BARTRONICS INDIA LTD.,NSE:ASMS
INE185H01016,CELEBRITY,CELEBRITY FASHIONS LTD.,NSE:CELEBRITY
INE229H01012,NITINSPIN,NITIN SPINNERS LTD.,NSE:NITINSPIN
INE283H01019,ROHLTD,ROYAL ORCHID HOTELS LTD.,NSE:ROHLTD
INE265F01028,ENIL,ENTERTAINMENT NETWORK (INDIA),NSE:ENIL
INE266H01014,CELLA,CELLA SPACE LIMITED,NSE:CELLA
INE246F01010,GSPL,GUJARAT STATE PETRONET LTD.,NSE:GSPL
INE199G01027,JAGRAN,JAGRAN PRAKASHAN LTD.,NSE:JAGRAN
INE256H01015,DYNPRO,DYNEMIC PRODUCTS LTD.,NSE:DYNPRO
INE251H01024,GVKPIL,GVK POWER & INFRASTRUCTURE LTD,NSE:GVKPIL
INE226H01026,SADBHAV,SADBHAV ENGINEERING LTD.,NSE:SADBHAV
INE190H01024,SAKUMA,SAKUMA EXPORTS LTD.,NSE:SAKUMA
INE389H01022,KEC,KEC INTERNATIONAL LTD.,NSE:KEC
INE047B01011,GILLANDERS,GILLANDERS ARBUTHNOT & CO.LTD.,NSE:GILLANDERS
INE332H01014,INDOTECH,INDO TECH TRANSFORMERS LTD.,NSE:INDOTECH
INE350H01032,BLKASHYAP,B.L.KASHYAP AND SONS LTD.,NSE:BLKASHYAP
INE774D01024,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL,NSE:M&MFIN
INE286H01012,VISASTEEL,VISA STEEL LTD.,NSE:VISASTEEL
INE858F01012,NITCO,NITCO LTD.,NSE:NITCO
INE493H01014,MPDL,MPDL LIMITED,NSE:MPDL
INE343H01029,SOLARINDS,SOLAR INDUSTRIES INDIA LTD.,NSE:SOLARINDS
INE297H01019,GALLANTT,GALLANTT ISPAT LIMITED,NSE:GALLANTT
INE383H01017,MALUPAPER,MALU PAPER MILLS LTD.,NSE:MALUPAPER
INE786F01031,UTTAMSUGAR,UTTAM SUGAR MILLS LTD.,NSE:UTTAMSUGAR
INE353H01010,SGL,STL GLOBAL LTD.,NSE:SGL
INE401H01017,KKCL,KEWAL KIRAN CLOTHING LTD.,NSE:KKCL
INE424H01027,SUNTV,SUN TV NETWORK LTD.,NSE:SUNTV
INE177H01039,GPIL,GODAWARI POWER & ISPAT LTD.,NSE:GPIL
INE411H01032,RSYSTEMS,R SYSTEMS INTERNATIONAL LTD.,NSE:RSYSTEMS
INE296H01011,EMKAY,EMKAY GLOBAL FINANCIAL SERVICE,NSE:EMKAY
INE388G01026,TICL,TwamevConstruction and Infrast,NSE:TICL
INE397H01017,LOKESHMACH,LOKESH MACHINES LTD.,NSE:LOKESHMACH
INE390H01020,KAMDHENU,Kamdhenu Limited,NSE:KAMDHENU
INE111F01016,PAUSHAKLTD,PAUSHAK LTD.,NSE:PAUSHAKLTD
INE302H01017,GTNTEX,GTN TEXTILES LTD.,NSE:GTNTEX
INE347H01012,INDICAP,INDITRADE CAPITAL LIMITED,NSE:INDICAP
INE367G01038,PFOCUS,PRIME FOCUS LTD.,NSE:PFOCUS
INE418H01029,ALLCARGO,ALLCARGO LOGISTICS LTD.,NSE:ALLCARGO
INE776C01039,GMRAIRPORT,GMR Airports Limited,NSE:GMRAIRPORT
INE669C01036,TECHM,TECH MAHINDRA LTD.,NSE:TECHM
INE536H01010,CIEINDIA,CIE Automotive India Limited,NSE:CIEINDIA
INE540H01012,VOLTAMP,VOLTAMP TRANSFORMERS LTD.,NSE:VOLTAMP
INE285H01022,ATLANTAA,ATLANTAA LIMITED,NSE:ATLANTAA
INE596H01014,HOVS,HOV SERVICES LTD.,NSE:HOVS
INE731H01025,ACE,ACTION CONSTRUCTION EQUIPMENT,NSE:ACE
INE916G01016,GEECEE,GEECEE VENTURES LIMITED,NSE:GEECEE
INE516H01012,RICHAIND,RICHA INDUSTRIES LTD.,NSE:RICHAIND
INE336H01023,GAYAPROJ,GAYATRI PROJECTS LTD.,NSE:GAYAPROJ
INE737H01014,FIEMIND,FIEM INDUSTRIES LTD.,NSE:FIEMIND
INE544H01014,JHS,JHS SVENDGAARD LABORATORIES LT,NSE:JHS
INE503A01015,DCBBANK,DCB BANK LIMITED,NSE:DCBBANK
INE792H01019,GLOBALVECT,GLOBAL VECTRA HELICORP LTD.,NSE:GLOBALVECT
INE020G01017,INSPIRISYS,Inspirisys Solutions Limited,NSE:INSPIRISYS
INE221H01019,GTLINFRA,GTL INFRASTRUCTURE LTD.,NSE:GTLINFRA
INE637H01024,SHIVAMAUTO,SHIVAM AUTOTECH LTD.,NSE:SHIVAMAUTO
INE663F01032,NAUKRI,INFO EDGE (INDIA) LTD.,NSE:NAUKRI
INE813H01021,TORNTPOWER,TORRENT POWER LTD.,NSE:TORNTPOWER
INE561H01026,PARSVNATH,PARSVNATH DEVELOPERS LTD.,NSE:PARSVNATH
INE645H01027,SUTLEJTEX,SUTLEJ TEXTILES & INDUSTRIES L,NSE:SUTLEJTEX
INE818H01020,LTFOODS,LT FOODS LTD.,NSE:LTFOODS
INE671H01015,SOBHA,SOBHA,NSE:SOBHA
INE803H01014,RUCHIRA,RUCHIRA PAPERS LTD.,NSE:RUCHIRA
INE483C01032,TANLA,TANLA PLATFORMS LIMITED,NSE:TANLA
INE966H01019,ZEEMEDIA,ZEE MEDIA CORPORATION LIMITED,NSE:ZEEMEDIA
INE965H01011,SITINET,Siti Networks Ltd.,NSE:SITINET
INE872H01027,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LTD.,NSE:LUMAXTECH
INE718H01014,AUTOIND,AUTOLINE INDUSTRIES LTD.,NSE:AUTOIND
INE870H01013,NETWORK18,NETWORK18 MEDIA & INVESTMENTS,NSE:NETWORK18
INE703H01016,HUBTOWN,HUBTOWN LTD.,NSE:HUBTOWN
INE627H01017,CTE,CAMBRIDGE TECHNOLOGY ENTERPRIS,NSE:CTE
INE545H01011,TIIL,TECHNOCRAFT INDUSTRIES (INDIA),NSE:TIIL
INE891D01026,REDINGTON,Redington Limited,NSE:REDINGTON
INE768E01024,AICHAMP,AI CHAMPDANY INDUSTRIES LTD.,NSE:AICHAMP
INE704H01022,CINELINE,CINELINE INDIA LIMITED,NSE:CINELINE
INE940H01022,PGIL,PEARL GLOBAL INDUSTRIES LIMITE,NSE:PGIL
INE684F01012,FSL,FIRSTSOURCE SOLUTIONS LTD.,NSE:FSL
INE134E01011,PFC,POWER FINANCE CORPORATION LTD.,NSE:PFC
INE758C01029,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LT,NSE:AHLUCONT
INE804H01012,TFL,TRANSWARRANTY FINANCE LTD.,NSE:TFL
INE562A01011,INDIANB,INDIAN BANK,NSE:INDIANB
INE812G01025,SMSPHARMA,SMS PHARMACEUTICALS LTD.,NSE:SMSPHARMA
INE998H01012,ORIENTALTL,ORIENTAL TRIMEX LTD.,NSE:ORIENTALTL
INE311H01018,ELAND,E-Land Apparel Limited,NSE:ELAND
INE669E01016,IDEA,VODAFONE IDEA  LIMITED,NSE:IDEA
INE702H01018,JAGJANANI,JAGJANANI TEXTILES LTD.,NSE:JAGJANANI
INE952H01027,RAJTV,RAJ TELEVISION NETWORK LTD.,NSE:RAJTV
INE761H01022,PAGEIND,PAGE INDUSTRIES LTD.,NSE:PAGEIND
INE005I01014,AMDIND,AMD INDUSTRIES LTD.,NSE:AMDIND
INE976H01018,LEHAR,LEHAR FOOTWEARS LIMITED,NSE:LEHAR
INE006I01046,ASTRAL,ASTRAL LIMITED,NSE:ASTRAL
INE069I01010,EMBDL,EMBASSY DEVELOPMENTS LIMITED,NSE:EMBDL
INE052I01032,CAMLINFINE,Camlin Fine Sciences Ltd,NSE:CAMLINFINE
INE725G01011,ICRA,ICRA LTD.,NSE:ICRA
INE836F01026,DISHTV,DISH TV INDIA LTD.,NSE:DISHTV
INE280H01015,SAHYADRI,SAHYADRI INDUSTRIES LTD.,NSE:SAHYADRI
INE917H01012,SRHHYPOLTD,SREE RAYALASEEMA HI-STRENGTH H,NSE:SRHHYPOLTD
INE061F01013,FORTIS,FORTIS HEALTHCARE LTD.,NSE:FORTIS
INE797H01018,TGBHOTELS,TGB BANQUETS AND HOTELS LTD.,NSE:TGBHOTELS
INE788H01017,HILTON,HILTON METAL FORGING LTD.,NSE:HILTON
INE124G01033,DELTACORP,DELTA CORP LTD.,NSE:DELTACORP
INE287C01037,MICEL,MIC ELECTRONICS LTD.,NSE:MICEL
INE070I01018,INSECTICID,INSECTICIDES (INDIA) LTD.,NSE:INSECTICID
INE228I01012,ASAHISONG,ASAHI SONGWON COLORS LTD.,NSE:ASAHISONG
INE928H01019,HARYNACAP,HARYANA CAPFIN LTD.,NSE:HARYNACAP
INE508G01029,TIMETECHNO,TIME TECHNOPLAST LTD.,NSE:TIMETECHNO
INE170I01016,HGS,HINDUJA GLOBAL SOLUTIONS LTD.,NSE:HGS
INE189I01024,NELCAST,NELCAST LTD.,NSE:NELCAST
INE945H01013,V2RETAIL,V2 RETAIL LTD.,NSE:V2RETAIL
INE271C01023,DLF,DLF LTD.,NSE:DLF
INE924H01018,TARMAT,TARMAT LTD.,NSE:TARMAT
INE106I01010,ANKITMETAL,ANKIT METAL & POWER LTD.,NSE:ANKITMETAL
INE232I01014,SPARC,SUN PHARMA ADVANCED RESEARCH C,NSE:SPARC
INE102I01027,ADSL,ALLIED DIGITAL SERVICES LTD.,NSE:ADSL
INE385I01010,ALPA,ALPA LABORATORIES LTD.,NSE:ALPA
INE117H01019,SSLEL,SIR SHADI LAL ENTERPRISES LTD.,NSE:SSLEL
INE800H01010,OMAXE,OMAXE LTD.,NSE:OMAXE
INE056I01025,REFEX,REFEX INDUSTRIES LTD.,NSE:REFEX
INE483A01010,CENTRALBK,CENTRAL BANK OF INDIA,NSE:CENTRALBK
INE105I01020,SELMC,SEL MANUFACTURING COMPANY LTD.,NSE:SELMC
INE022I01019,ASIANTILES,ASIAN GRANITO INDIA LTD.,NSE:ASIANTILES
INE930H01031,KPRMILL,K.P.R.MILL LIMITED,NSE:KPRMILL
INE142I01023,TAKE,TAKE SOLUTIONS LTD.,NSE:TAKE
INE323I01011,PURVA,Puravankara Limited,NSE:PURVA
INE338I01027,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVIC,NSE:MOTILALOFS
INE222F01029,VTMLTD,VTM LTD.,NSE:VTMLTD
INE227G01018,INDOWIND,INDOWIND ENERGY LTD.,NSE:INDOWIND
INE245I01016,NAGREEKCAP,NAGREEKA CAPITAL & INFRASTRUCT,NSE:NAGREEKCAP
INE387I01016,MAGNUM,MAGNUM VENTURES LTD.,NSE:MAGNUM
INE752E01010,POWERGRID,POWER GRID CORPORATION OF INDI,NSE:POWERGRID
INE455I01029,KSCL,KAVERI SEED COMPANY LTD.,NSE:KSCL
INE420C01059,PAISALO,PAISALO DIGITAL LIMITED,NSE:PAISALO
INE429I01024,CCCL,CONSOLIDATED CONSTRUCTION CONS,NSE:CCCL
INE550H01011,SUPREMEINF,SUPREME INFRASTRUCTURE INDIA L,NSE:SUPREMEINF
INE215I01027,MAANALU,MAAN ALUMINIUM LTD.,NSE:MAANALU
INE369I01014,IL&FSENGG,IL&FS ENGINEERING AND CONSTRUC,NSE:IL&FSENGG
INE272G01014,PARLEIND,PARLE INDUSTRIES LIMITED,NSE:PARLEIND
INE621H01010,RELIGARE,RELIGARE ENTERPRISES LTD.,NSE:RELIGARE
INE139I01011,BVCL,BARAK VALLEY CEMENTS LTD.,NSE:BVCL
INE575I01016,RATHIBAR,RATHI BARS LTD.,NSE:RATHIBAR
INE742F01042,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOM,NSE:ADANIPORTS
INE532F01054,EDELWEISS,EDELWEISS FINANCIAL SERVICES L,NSE:EDELWEISS
INE722H01024,RGL,RENAISSANCE GLOBAL LIMITED,NSE:RGL
INE094I01018,KOLTEPATIL,KOLTE-PATIL DEVELOPERS LTD.,NSE:KOLTEPATIL
INE234I01028,KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVEL,NSE:KAUSHALYA
INE668F01031,JYOTHYLAB,JYOTHY LABS LIMITED,NSE:JYOTHYLAB
INE738I01010,ECLERX,ECLERX SERVICES LTD.,NSE:ECLERX
INE763I01026,TARIL,TRANSFORMERS AND RECTIFIERS (I,NSE:TARIL
INE791I01019,BRIGADE,BRIGADE ENTERPRISES LTD.,NSE:BRIGADE
INE661I01014,BGRENERGY,BGR ENERGY SYSTEMS LTD.,NSE:BGRENERGY
INE015D01022,MANAKSIA,MANAKSIA LTD.,NSE:MANAKSIA
INE386I01018,PORWAL,PORWAL AUTO COMPONENTS LTD.,NSE:PORWAL
INE095I01015,PPAP,PPAP,NSE:PPAP
INE298I01015,ARIES,ARIES AGRO LTD.,NSE:ARIES
INE529I01021,KUANTUM,KUANTUM PAPERS LTD.,NSE:KUANTUM
INE614G01033,RPOWER,RELIANCE POWER LTD.,NSE:RPOWER
INE576I01022,JKIL,J.KUMAR INFRAPROJECTS LTD.,NSE:JKIL
INE792I01017,CORDSCABLE,CORDS CABLE INDUSTRIES LTD.,NSE:CORDSCABLE
INE634I01029,KNRCON,KNR CONSTRUCTIONS LTD.,NSE:KNRCON
INE809I01019,ONMOBILE,ONMOBILE,NSE:ONMOBILE
INE964H01014,SEPC,SEPC LIMITED,NSE:SEPC
INE863I01016,BANG,BANG OVERSEAS LTD.,NSE:BANG
INE821I01022,IRB,IRB INFRASTRUCTURE DEVELOPERS,NSE:IRB
INE871H01011,GSS,GSS INFOTECH LTD.,NSE:GSS
INE049I01012,NAHARCAP,NAHAR CAPITAL & FINANCIAL SERV,NSE:NAHARCAP
INE951I01027,VGUARD,V-GUARD INDUSTRIES LTD.,NSE:VGUARD
INE020B01018,RECLTD,REC LIMITED,NSE:RECLTD
INE642I01014,GOKAKTEX,GOKAK TEXTILES LTD.,NSE:GOKAKTEX
INE274G01010,DHANI,Dhani Services Limited,NSE:DHANI
INE615H01020,TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,NSE:TITAGARH
INE415I01015,KIRIINDUS,KIRI INDUSTRIES LTD.,NSE:KIRIINDUS
INE865C01022,BIRLAMONEY,ADITYA BIRLA MONEY LTD.,NSE:BIRLAMONEY
INE778I01024,TELOGICA,TELOGICA LIMITED,NSE:TELOGICA
INE091G01026,JAIBALAJI,JAI BALAJI INDUSTRIES LTD.,NSE:JAIBALAJI
INE917I01010,BAJAJ-AUTO,BAJAJ AUTO LTD.,NSE:BAJAJ-AUTO
INE918I01026,BAJAJFINSV,BAJAJ FINSERV LTD.,NSE:BAJAJFINSV
INE020J01029,GOKUL,GOKUL REFOILS & SOLVENT LTD.,NSE:GOKUL
INE105J01010,RPGLIFE,RPG LIFE SCIENCES LTD.,NSE:RPGLIFE
INF174KA1JD7,SENSEX1,KOTAK MAHINDRA MUTUAL FUND,NSE:SENSEX1
INE368I01016,NIRAJ,NIRAJ CEMENT STRUCTURALS LTD.,NSE:NIRAJ
INE790D01020,CHLLTD,CHL LTD.,NSE:CHLLTD
INE955I01044,SEJALLTD,SEJAL GLASS LIMITED,NSE:SEJALLTD
INE877I01016,ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD.,NSE:ARCHIDPLY
INE947I01017,LOTUSEYE,Lotus Eye Hospital And Institu,NSE:LOTUSEYE
INE323J01019,SOMICONVEY,SOMI CONVEYOR BELTINGS LTD.,NSE:SOMICONVEY
INE201J01017,LGBFORGE,LGB FORGE LTD.,NSE:LGBFORGE
INE197J01017,LPDC,LANDMARK PROPERTY DEVELOPMENT,NSE:LPDC
INE176J01011,SICAGEN,SICAGEN INDIA LTD.,NSE:SICAGEN
INE457H01027,SIMPLXMIL,SIMPLEX MILLS COMPANY LTD.,NSE:SIMPLXMIL
INE456H01029,SIMPLXPAP,SIMPLEX PAPERS LTD.,NSE:SIMPLXPAP
INE144J01027,20MICRONS,20 MICRONS LTD.,NSE:20MICRONS
INE342J01019,ZFCVINDIA,ZF Commercial Vehicle Control,NSE:ZFCVINDIA
INE773I01017,ALKALI,ALKALI METALS LTD.,NSE:ALKALI
INE858B01029,ISGEC,ISGEC HEAVY ENGINEERING LTD.,NSE:ISGEC
INE919H01018,IMFA,INDIAN METALS & FERRO ALLOYS L,NSE:IMFA
INE065J01024,TPHQ,Teamo Productions HQ Limited,NSE:TPHQ
INE359B01010,VEDAVAAG,VEDAVAAG SYSTEMS LTD.,NSE:VEDAVAAG
INE893J01029,MOLDTKPAC,MOLD-TEK PACKAGING LIMITED,NSE:MOLDTKPAC
INE998I01010,MHRIL,MAHINDRA HOLIDAYS & RESORTS IN,NSE:MHRIL
INE688J01023,EXCEL,EXCEL REALTY N INFRA LTD.,NSE:EXCEL
INE294G01026,ROML,RAJ OIL MILLS LTD.,NSE:ROML
INE083K01017,BENGALASM,BENGAL & ASSAM COMPANY LTD.,NSE:BENGALASM
INE814H01011,ADANIPOWER,ADANI POWER LTD.,NSE:ADANIPOWER
INE848E01016,NHPC,NHPC LTD.,NSE:NHPC
INE429K01012,PEIL,PREMIER ENERGY AND INFRASTRUCT,NSE:PEIL
INE360J01011,SURYAAMBA,SURYAAMBA SPINNING MILLS LTD.,NSE:SURYAAMBA
INE615I01010,GLOBUSSPR,GLOBUS SPIRITS LTD.,NSE:GLOBUSSPR
INE274J01014,OIL,OIL INDIA LTD.,NSE:OIL
INE274K01012,BTTL,BHILWARA TECHNICAL TEXTILES LT,NSE:BTTL
INE318K01025,SPSL,SHREE PRECOATED STEELS LTD.,NSE:SPSL
INE201K01015,EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,NSE:EXPLEOSOL
INE399K01017,RTNPOWER,RATTANINDIA POWER LTD.,NSE:RTNPOWER
INE947J01015,DEN,DEN NETWORKS LTD,NSE:DEN
INE563J01010,ASTEC,ASTEC LIFESCIENCES LIMITED,NSE:ASTEC
INE250K01012,DLINKINDIA,D-LINK (INDIA) LTD,NSE:DLINKINDIA
INE121E01018,JSWENERGY,JSW ENERGY LTD,NSE:JSWENERGY
INE143K01019,YUNIKM,Yunik Managing Advisors Limite,NSE:YUNIKM
INE484J01027,GODREJPROP,GODREJ PROPERTIES LTD,NSE:GODREJPROP
INE950I01011,DBCORP,D B CORP LTD,NSE:DBCORP
INE912H01013,MBLINFRA,MBL Infrastructure Ltd,NSE:MBLINFRA
INE797F01020,JUBLFOOD,JUBILANT FOODWORKS LTD,NSE:JUBLFOOD
INE893I01013,VASCONEQ,VASCON ENGINEERS LTD,NSE:VASCONEQ
INE085J01014,THANGAMAYL,THANGAMAYIL JEWELLERY LTD,NSE:THANGAMAYL
INE879I01012,DBREALTY,VALOR ESTATE LIMITED,NSE:DBREALTY
INE753K01015,EMMBI,EMMBI INDUSTRIES LTD,NSE:EMMBI
INE982F01036,HATHWAY,HATHWAY CABLE & DATACOM LTD,NSE:HATHWAY
INE141K01013,TEXMOPIPES,TEXMO PIPES & PRODUCTS LTD.,NSE:TEXMOPIPES
INE108E01023,SUNDARAM,SUNDARAM MULTI PAP LTD.,NSE:SUNDARAM
INE847C01020,ROSSELLIND,ROSSELL INDIA LTD.,NSE:ROSSELLIND
INE949H01023,MANINFRA,MAN INFRACONSTRUCTION LTD.,NSE:MANINFRA
INE864J01012,TAMBOLIIN,TAMBOLI INDUSTRIES LIMITED,NSE:TAMBOLIIN
INF205K01361,IVZINGOLD,INVESCO India Gold Exchange Tr,NSE:IVZINGOLD
INE975G01012,IL&FSTRANS,IL&FS TRANSPORTATION NETWORKS,NSE:IL&FSTRANS
INE262H01021,PERSISTENT,PERSISTENT SYSTEMS LTD.,NSE:PERSISTENT
INE566K01011,ISFT,INTRASOFT TECHNOLOGIES LTD.,NSE:ISFT
INE516K01024,GOENKA,GOENKA DIAMOND & JEWELS LTD.,NSE:GOENKA
INE790B01024,KCPSUGIND,KCP SUGAR & INDUSTRIES CORPORA,NSE:KCPSUGIND
INE134B01017,KECL,KIRLOSKAR ELECTRIC COMPANY LTD,NSE:KECL
INE639K01016,SATCH,SATCHMO HOLDINGS LIMITED,NSE:SATCH
INE747K01017,TARAPUR,TARAPUR TRANSFORMERS LTD,NSE:TARAPUR
INE002L01015,SJVN,SJVN LTD,NSE:SJVN
INE830C01026,EMAMIPAP,EMAMI PAPER MILLS LTD.,NSE:EMAMIPAP
INE798K01010,KRITINUT,KRITI NUTRIENTS LTD,NSE:KRITINUT
INE265D01015,GKB,GKB OPHTHALMICS LTD.,NSE:GKB
INE871K01015,HMVL,HINDUSTAN MEDIA VENTURES LTD.,NSE:HMVL
INE778K01012,EMAMIREAL,EMAMI REALTY LIMITED,NSE:EMAMIREAL
INE926K01017,AHLEAST,ASIAN HOTELS (EAST) LTD.,NSE:AHLEAST
INE933K01021,BAJAJCON,BAJAJ CONSUMER CARE LIMITED,NSE:BAJAJCON
INF179KC1981,HDFCGOLD,HDFC MUTUAL FUND - HDFC GOLD E,NSE:HDFCGOLD
INE696K01024,PRAKASHSTL,PRAKASH STEELAGE LTD.,NSE:PRAKASHSTL
INF109KC1NT3,GOLDIETF,ICICI Prudential Gold ETF,NSE:GOLDIETF
INE517F01014,GPPL,GUJARAT PIPAVAV PORT LTD.,NSE:GPPL
INE389K01018,WELINV,WELSPUN INVESTMENTS AND COMMER,NSE:WELINV
INE866K01023,WAAREEINDO,INDOSOLAR LTD.,NSE:WAAREEINDO
INE019J01013,SASTASUNDR,Sastasundar Ventures Limited,NSE:SASTASUNDR
INE521J01018,CPCAP,CP CAPITAL LIMITED,NSE:CPCAP
INE874I01013,RAMKY,RAMKY INFRASTRUCTURE LTD.,NSE:RAMKY
INE999K01014,GREENPOWER,ORIENT GREEN POWER COMPANY LTD,NSE:GREENPOWER
INE068L01024,CANTABIL,CANTABIL RETAIL INDIA LTD.,NSE:CANTABIL
